name,translation
001_0,John writes his homework.
002_0,John writes his homework.
003_0,I visited John there yesterday.
004_0,I visited John there yesterday.
005_0,Mary loves John.
006_0,Mary loves John.
007_0,"Sure, John can go there."
008_0,"Sure, John can go there."
009_0,"Sure, John can go there."
010_0,"Sure, John can go there."
011_0,"Sure, John can go there."
012_0,"Sure, John can go there."
013_0,"Sure, John can go there."
014_0,"Sure, John can go there."
015_0,John will go to a party in the future.
016_0,John will go there in the future.
017_0,John will go there in the future.
018_0,John blames Fred for being hit.
019_0,John won't eat fish but eats chicken.
020_0,John won't eat fish but eats chicken.
021_0,John won't eat fish but eats chicken.
022_0,"For vegtables, the people in China prefer broccoli."
023_0,"For vegtables, the people in China prefer broccoli."
024_0,John likes this and that.
025_0,John likes this and that.
026_0,John likes this and that.
027_0,John likes this and that.
028_0,John likes this and that.
029_0,John likes this and that.
030_0,John likes this and that.
031_0,John leaves there. 
032_0,John leaves there.
033_0,John leaves there.
034_0,John tells Mary that I buy a house.
035_0,"Mary knows that, for vegtables, he likes corn."
036_0,"Mary knows that, for vegtables, he likes corn."
037_0,"I know that, for vegtables, Mary likes corn."
038_0,"Mary knows that, for vegtables, he likes corn."
039_0,John thinks that Mary loves him.
040_0,John thinks that Mary loves him. 
041_0,John thinks that Mary loves him. 
042_0,John can buy a house.
043_0,John should buy a house.
044_0,John will buy a house in the future.
045_0,John won't buy a house in the future.
046_0,John lived in Chicago. 
047_0,John will buy a car in the future.
048_0,John will buy a car in the future.
049_0,John should buy a car.
050_0,"In the future, John should buy a car."
051_0,John won't buy a car in the future.
052_0,John should not buy a house.
053_0,John should not buy a house.
054_0,John should not buy a house.
055_0,John should buy a house.
056_0,John decides to visit Mary.
057_0,John decides to visit Mary.
058_0,John decides to visit Mary.
059_0,John won't buy a house in the future.
060_0,John prefers to go to a movie.
061_0,John wants to sell the car.
062_0,John wants to sell the car in the future.
063_0,"In the future, John will go."
064_0,John prefers not to go to a movie.
065_0,"Next week, John visits to New York."
066_0,John won't buy a house in the future.
067_0,John won't buy a house in the future.
068_0,"Last week, John visited New York."
069_0,John will visit Mary in the future.
070_0,John will visit Mary in the future.
071_0,John will visit Mary in the future.
072_0,John's visit to Mary is over.
073_0,John doesn't visit Mary.
074_0,John doesn't visit Mary.
075_0,John's visit to Mary will be over in the future.
076_0,Ann blames Mary.
077_0,Ann blames Mary.
078_0,John's visit to Mary will be over in the future.
079_0,John should finish reading the book.
080_0,John will finish reading the book in the future.
081_0,John likes chocolate.
082_0,John should not like chocolate.
083_0,I find somebody who owns the book.
084_0,I find somebody who owns the book.
085_0,John's brother arrives.
