name,translation
3,hello happy new year
4,now the new year  2020 wow 2020
5,"that feels like the future is here it's
arrived right crazy"
6,every year what do i do
7,my goals my hopes my wants  i think about it
8,"i write them down this year i have many goals i'm gonna share one with you"
9,and this one is important for you
10,i tend to share on sunday or monday
11,"so you can check every sunday or monday
there should be something there"
12,"what do you prefer do you prefer sunday nights or monday morning afternoon"
13,what do you prefer let me know comment
14,"so anyway i tend to post
at that time once a week"
15,that's the goal for the new year
16,or maybe more vlogging  natural conversation
17,"if you want to influence that tell me what you want i have a survey"
18,"so please respond you can find it up in this corner i think there no "
19,over here  i think it's that one
20,and if it's not there then down below in the video's description that has the link
21,it only takes one or two minutes that's it
22,"it's not a lot so please tell me what your goals are what you want to learn"
23,"and if you want my videos to stay or change how so thank you"
24,"because now you know
if i miss or forget or i get busy"
25,well you can punish or criticize
26,"if i have more videos more conversations comments discussions"
27,"i look forward to connecting with you so thank you"
28,"do you have a resolution something you want to commit to doing"
29,"let me know in the comments let's discuss"
30,"maybe your goal is related to asl and maybe not"
31,doesn't matter i'm still curious
32,"and if your goal is related to asl and you want to improve"
33,"which means you stay home it's on your schedule whatever works for you you decide"
34,"the pacing if you want to go quickly or slowly all of that  doesn't matter up to you"
35,"and that you can find again in this video's description"
36,"that class is still open now but at the end of january"
37,"and that's because i want to support current students"
38,"so for the new month of january class is still open"
39,"and you can still access and enroll and get started"
40,and that's it for the new year
41,i'm excited entering 2020 with you
42,"in 2020 i hope that your year is good that you're healthy"
43,and that your goals you succeed
44,"and for your comments your emails really i appreciate you and i value you"
45,"thank you for being here don't forget to comment with your goals"
46,happy new year and i'll see you next week bye
47,breakfast
48,lunch
49,dinner
50,"breakfast lunch and dinner variations"
51,"for lunch and dinner you may see these initialized signs"
52,an l for lunch
53,or dinner a d dinner
54,"breakfast you may also see signed as breakfast"
55,i suggest using the compound sign breakfast
56,"because the initialized sign looks very similar to a few"
57,"different signs one of which isn't very nice"
58,"beginners better to use breakfast lunch and dinner to be clear"
59,"you may see breakfast lunch and dinner too"
60,snack
61,dessert
62,example sentences
63,"get a free guide at aslmeredithcom meals to understand these sentence structures"
64,"now the example sentences each sentence i'll sign three times"
65,"first normal speed second half speed"
66,third beginner speed with english support
67,"or third you can watch without english try to understand"
68,if you still don't then rewind with closed captions
69,and remember each sentence does it have one correct way to sign it
70,"no there are many ways
that you can sign these in asl"
71,"or translate into english
so keep that in mind"
72,again
73,lunch finish backto work
74,breakfast you tendto eat where
75,during travel
76,did you like these example sentences
77,did you understand
78,"notice that the asl and english
word orders are different"
79,thank you i hope it helps you understand
80,why i signed the sentences in the order that i did
81,get your free guide at aslmeredithcom/meals
82,"thanks for watching 
i hope you learned a few new signs"
83,happy eating
84,"videos that divide up the numbers and
show each sign slowly with review"
85,"but here i'm just showing the full thing
you ready"
86,1
87,2
88,3
89,4
90,5
91,6
92,7
93,8
94,9
95,10
96,11
97,12
98,13
99,14
100,15
101,16 or 16
102,17 or 17
103,18 or 18
104,19 or 19
105,20
106,21
107,22
108,23
109,24
110,25
111,26
112,27
113,28
114,29
115,30
116,31
117,32
118,33
119,34
120,35
121,36
122,37
123,38
124,39
125,40
126,41
127,42
128,43
129,44
130,45
131,46
132,47
133,48
134,49
135,50
136,51
137,52
138,53
139,54
140,55
141,56
142,57
143,58
144,59
145,60
146,61
147,62
148,63
149,64
150,65
151,66
152,now a little bit different
153,67
154,68
155,69
156,70
157,71
158,72
159,73
160,74
161,75
162,76
163,77
164,78
165,79
166,80
167,81
168,82
169,83
170,84
171,85
172,86
173,87
174,88
175,89
176,90
177,91
178,92
179,93
180,94
181,95
182,96
183,97
184,98
185,99
186,reminder watch this again in slow motion here's how
187,"i also have beginner
level videos for you"
188,okay i hope this helped you practice
189,"if you want to practice more
go back and practice with me again"
190,"thank you for watching
and i'll see you soon bye"
191,"thank you so much for watching
if you like this video and you want to"
192,"learn more asl don't forget to click
like plus subscribe"
193,"tap the bell to get notified about new
videos  i have many more here for you and"
194,"in the future thanks again and i'll see
you soon bye"
195,"hello today a short video with one
common learner error or confusion every"
196,"every time i use the signs normal or ofcourse
i get so many questions about the difference"
197,right now i'll show you
198,"okay this sign normal 
the u handshape on the opposite fist"
199,it circles and then goes down normal
200,normal
201,"is that it natural yes it has
many different specific translations"
202,that all use the same sign
203,normal oh a fourth is naturally
204,nature  trees flowers that nature
205,that's different from of course 
206,ofcourse
207,now the meaning is similar  natural
208,"natural of course the meaning is similar
but a little bit different"
209,the signs again are natural and ofcourse
210,for ofcourse it's the same handshapes but the
211,movement is different it's an arc
212,ofcourse
213,again normal ofcourse
214,"i'm adding one sign that looks similar
to ofcourse but is a different sign"
215,that means gain  gain
216,it's like adding gain gain gain
217,gain
218,gain
219,the fist ofcourse
220,natural
221,ofcourse
222,gain
223,"i hope this helps you
clarify those three signs"
226,hello i know today is not a sunday
227,"but i wanted to come on and
let you know something"
228,"you know my asl class
i offer a beginner online class"
229,"for new asl signers
if you want to learn i can help you"
230,"that class so far has been open
you can access it sign up"
231,but that time is limited
232,"january 31st  that is the last day
for entering the class"
233,"if you have already joined that's fine
you can keep it of course"
234,but if you haven't yet joined the door is closing
235,"why because in january 
i'm offering something special"
236,i will invite you to a special facebook group
237,"and that group is for students
who now are taking the class"
238,"during your study and your process
you can do a bunch of things"
239,you can interact with other students  discuss the class
240,"you can access me your teacher
you can ask me questions"
241,and i will respond with like office hours
242,"third your videos if you want feedback
i can maybe help with that"
243,"six modules or six units 
so we'll do that together"
244,"and that's also why the class
is closing its doors for new students"
245,"and if so far you've been thinking about it
now is a good time"
246,i'm offering more support for you
247,and if not maybe in the summer
248,"okay now if you have any questions
please let me know  you can comment below"
249,"and you can find the class where 
there's a link up in the corner"
250,"okay thank you again
and i'll see you soon bye"
251,"hello how are you
i hope that your weekend is good"
252,"today i'm sharing something i think
maybe some of you don't know that i have"
253,"so of course you've seen that
i'm here on youtube  great"
254,"here i teach different topics
sometimes vlog"
255,did you know that instagram i have too
256,the name is the same aslmeredith
257,so on instagram too you can find me there
258,i share a little bit different from here
259,"here on youtube the videos can be
short or long  doesn't matter"
260,on instagram the videos are short
261,"the feed tends to be short videos that teach
something specific and then the"
262,"good receptive practice  meaning i just
you know think about my life and sign"
263,"something but then you can watch and try
to understand"
264,"plus i have  well they're not closed
captions they're open captions "
265,"subtitles so i sign and then little at
the bottom is text or sometimes above"
266,"little text has the english so you can
watch and try to understand and then"
267,so that's the stories and then third
268,"instagram every friday i post 
fingerspelling friday challenge"
269,that means i fingerspell  it tends to be three words
270,"i'll fingerspell those three 
sometimes four or five"
271,i fingerspell the firsttime fast normal speed
272,so the fingers still blend together but slower
273,"and the third is a beginner pace
meaning it's more clear"
274,"the hand shapes are clearly articulated
and slowly"
275,"many times there's a fourth part
where i describe those words "
276,"why i picked them
where the names are from"
277,"and if the words have a sign
i'll teach the sign"
278,"so anyway if you didn't know that on instagram
you can find me and we can connect"
279,"here i'm going to show you an example
of a fingerspelling friday challenge are you ready"
280,"well that was fingerspelling friday
if you want to join on instagram and see more"
281,every friday i have different names and words
282,"find me there on instagram
and we can connect i'll see you there"
283,hello happy friday today i will fingerspell three names
284,you can watch and try to understand and also
285,"why am i signing these names
where are they from okay"
286,these three names why what's similar
287,"presidents day
monday is president's day"
288,these three are who 
289,first three presidents
290,monday is president's day why now 
291,the first one  george's  birthday is when
292,"well that was fingerspelling friday
if you want to join on instagram and see more"
293,"every friday i have different 
names and words"
294,"find me there on instagram
and we can connect i'll see you there"
295,escape escape
296,escape or run away
297,run out of something
298,runout
299,it depends on the context ran out of
300,runout
301,run into or bump into someone
302,so it's a little different from the sign meet meet you meet them
303,"there's more emphasis on you know
it just happened run into someone"
304,to gain and build on something
305,"so the u handshape the dominant hand
 builds on the nondominant"
306,or run down  to feel run down
307,runny nose
308,the 4 handshape  nose is running
309,"might be coming down like that or maybe
if you're talking about a river you"
310,could show the water flowing and running
311,water running
312,"or in and out this way towards you
 and away from you"
313,here's that position again
314,up and away run or leave
315,i need to run   need to leave
316,stockings or tights or hose you get a run in them
317,stockings have a run in them
318,so this is like your leg
319,"tights have to run in them 
need to buy new ones"
320,thank you for all your wonderful suggestions
321,"this vlog is in american sign language
enable closed captions or sound for english"
322,"hello friends today i'm here for
a simple vlog"
323,that means i am signing discussing and that's it
324,now many of you here  and on instagram too 
325,"have already told me how vlogs
when i just chat"
326,you enjoy it why it's good practice for receptive skills
327,so here i am
328,so today i have a few topics to discuss
329,"here on youtube on instagram
i have many many so put that aside"
330,so far it's been perfect
331,so far every week i have posted a new video
332,right have you seen
333,"if you didn't see it and you're not
subscribed please subscribe"
334,sign up click subscribe
335,youtube will let you know
336,"so far every week i've had a new video 
i'm still working on future videos"
337,if you have a topic you want me to teach i have a
338,request form this video's description will have that link
339,filming and editing and then posting
340,"anyway i'm proud that so far
these past two months are done"
341,i have 10 videos already down
342,what is your goal did you have a new year's commitment or goal
343,"so far how has that been going 
comment and let me know"
344,what was your goal and so far have you persisted
345,did you forget comment
346,but here i just wanted to remind you
347,please wash your hands
348,don't forget do it often
349,if you're sick stay home please stay home
350,or go to your doctor take care of yourself
351,third dpn do you know deaf president now
352,"deaf president now protest 
where gallaudet university"
353,"gallaudet students and teachers 
protested about the new"
354,"university president so the story itself
the history is really interesting"
355,"i suggest that you watch and read about it
this video's description i added a"
356,"few things that you can review study or
learn from"
357,"so please go and tap through those
to learn for yourself"
358,so 2020 goals second was covid19
359,and third deaf president now
360,was there a fourth topic to discuss
361,i think not 
362,short video thanks for chatting with me
363,please let me know your goals and how they're going
364,and again please rest wash your hands it's important
365,and dpn read about that
366,thanks for watching and i'll see you soon bye
367,if you like this video and you want to learn more asl
368,don't forget to click like plus subscribe
369,"tap the bell to get notified about new
videos thanks again and i'll see you soon"
370,bye
371,a lot is happening a lot of unknowns
372,"anyway i thought i'd come on
and chat a little bit"
373,this vlog is in  american sign language please enable closed captions or sound for english support
374,if you're learning try to watch first
375,"i'm sharing resources to help you continue
learning and practicing asl from home"
376,go to aslmeredithcom/learnfromhome
377,now my life looks like what
378,of course i'm staying home stay home
379,every day i try well i work yes i'm still working
380,it is important for me  everyday i go outside
381,a little bit of sun walking is important
382,"other people still staying away we're not close
walking at a distance"
383,so every day i go out i walk
384,i try to really get in touch with friends
385,and really it's a good time for connecting
386,you can call you can video 
387,you can actually see faces that's nice
388,you know google hangouts or meet
389,others facetime that
390,so you can actually face and see while you chat
391,then  as my eyes close and i get tired  i sleep
392,so i'm still reading other things
393,"oh right now i'm actually reading what
hold on"
394,how to do nothing
395,"different context it's  anyway i thought
it would be you know a funny and good"
396,time to pick this book up and open it
397,so that a little bit of tv not a lot
398,i'm still feeling like work takes a lot of time walking and chatting with friends
399,and ask you what's up with you
400,are you home like me are you still working
401,maybe your children you need to take care of them
402,now all day they're home
403,so you really have to take care of them
404,"related to now  covid19 so soon  i'm
going to share maybe next week"
405,so i'll share your requests
406,that's it thank you  take care of yourself
407,social distancing
408,social distancing
409,distancing
410,separate separation
411,or this handshape distancing
412,distancing
413,separate  separation is this handshape
414,social separation
415,"some people don't like that idea
of social separation why"
416,connect so you can still socialize
417,better maybe physical separation
418,with the p handshape physical
419,physical
420,physical or physical like this means
421,body body or physical
422,tends to use the p physical
423,so either physical or physical distancing
424,"or third you can use your index fingers
to show separation"
425,"this represents a person one here and
one all the way over there"
426,must
427,must
428,again social distancing
429,or maybe physical distancing
430,social distancing
431,physical distancing
432,important
433,stay home
434,take care of yourself and take care of others
435,"i'm sharing resources to help you continue
learning and practicing asl from home"
436,the link is in this video's description
437,or go straight to aslmeredithcom/learnfromhome
438,so this is the handshape home
439,see it signed with an l handshape live
440,live it's a little english influenced
441,have i have an apartment
442,okay that's a few signs related to the
443,rooms and how to sign those thank you
444,for watching and i'll see you soon
445,buhbye
446,a few signs related to the home
447,specifically different types of homes
448,it's this movement or sometimes you'll
449,it's the same thing it just depends on
450,the context of the sentence and the
451,also see it's signed living room like
452,kitchen kitchen
453,bathroom bathroom
454,room you know people don't tend to sign
455,that's fingerspelled oh ffs i seee
456,all right let's review
457,and that's it for today thank you for
458,watching if you like this video and
459,please subscribe and join us here + do
460,you know that i have an email letter i
461,send out once a month with more
462,information practise different things
463,for you to practice and learn asl all
464,free so if you want to join you can find
465,and i'll see you soon bye
466,[see open captions instead]
467,"videos related to the house or the home
they describe different types of homes"
468,"and rooms in the home so if you haven't
yet watched those i suggest you start"
469,"there today we'll focus on furniture and
things found in the house or the"
470,apartment  furniture
471,furniture chair
472,couch or sofa
473,table
474,"you can sign table if you're describing
an office you can sign table or stick to"
475,fingerspell   desk desk desk
476,bed
477,bed
478,mirror
479,closet
480,"be light and then that open a handshape
represents the lamp that's on a table so"
481,sink
482,"first is refrigerator so that's the r
handshape  refrigerator that's a common"
483,"okay so we're just describing the item
and you often that's with like showing"
484,"ref  
refrigerator so you'll see those really"
485,washing machine
486,"it's the v handshape is bent stairs or
stairs  that thumb can be in or out"
487,stairs stairs stairs
488,"all right that's it for today  i hope
that you enjoyed are you ready to review"
489,want more signs comment let me know your requests i hope to see you again soon
490,bye
491,"to review family signs and this is
family"
492,it's an f handshape in a circle family
493,and that's family
494,mother or mom
495,"you may also see it where the movement
is a little different where you wiggle"
496,the fingers like this mother
497,so mother or mother  it's the same thing
498,"the sign father looks similar the
difference is that it's not at your"
499,father  and again the movement can
500,change to that wiggle
501,so father
502,"parents
so it's the same handshapes as mother"
503,and father parents
504,baby baby
505,"you may see differences
like smaller like this baby"
506,you don't need to make a huge gesture
507,just baby is fine
508,daughter  and it's similar
509,like girl and baby became daughter
510,that's the hand shape daughter goes in the nook of the elbow
511,start daughter
512,"daughter or daughter
either of those"
513,son or son son
514,children children
515,like you're patting them on the heads children
516,"and just to let you know here's the sign
for kids  kids kids"
517,"at the chin and comes down sister
it's from the signs girl and same so girl"
518,"brothers and sisters are siblings that's the sign
siblings"
519,for example demonstration
520,girland marry became wife wife
521,"that's fine but just be careful not to
use the index finger  that's different"
522,partner partner
523,you can say my partner partner
524,another sign you might see is sweetheart
525,"sweetheart means someone you're in a
relationship with sweetheart"
526,"in this video i showed you signs for parents
children and that kind of thing"
527,"next week in part 2 i'll show you more like
grandmother grandfather cousins and so"
529,hi i'm meredith and in this video i will
530,show you family signs for the extended
531,family so like grandparents and cousins
532,and so on if you haven't yet watched
533,part one with parents siblings and so on
534,family family
535,grandmother grandmother
536,it's that movement sometimes the
537,grandparents simply plain both
538,grandparents
539,and also you'll see this with the double
540,arc grandmother or grandfather
541,so grandmother and grandfather or
542,grandchildren you tend to fingerspell
543,d grandchildren
544,an a handshape there it shouldn't touch
545,the jaw sign it out here i leave that
546,space aunt it's different from girl see
547,the different has that a handshape that
548,shouldn't touch aunt aunt
549,uncle you handshape uncle
550,nice
551,the same where their girls signed out
552,describing both tend to sign it up at
553,today next week in the third video i'll
554,show you more words related to
555,describing a family special family signs
556,and that'll be next week thank you for
557,watching if you like this video
558,"hello i'm meredith and today i'll show
words related to special family  how to"
559,"describe this video is part 3 so if you
haven't yet watched 1 or 2 please go"
560,"back where this video's description has
a link you can click  we'll start to"
561,inlaw so if
562,"the sign is in law and that it's the l
handshape on the nondominant palm taps twice"
563,"in law so that means you're related
through marriage so again here's the"
564,understand  so that's the sign inlaw
565,depends on a situation  families are diverse have different
566,"preferences but step for example if my
dad were here"
567,"and he had a different wife my mom was
different"
568,"you can use it similarly for stepmom
stepson stepdaughter and so on"
569,"father but a different mother or vice
versa maybe your mom is the same and"
570,your dad is different half
571,"and you can describe a half sister or
half brother and last for today also"
572,"please comment to let me know and thank you
for watching if you like this video"
573,"please subscribe and i'll see you again
soon bye"
574,hi today i'm going to show you a few
575,signs related to what to relationships
576,and that's relationships i'll show you
577,in a few minutes
578,first i want to let you know that i do
579,have two other videos that you may like
580,the first i have videos related to
581,family all the different family signs
582,actually three different videos and
583,second i have a video related to
584,valentine's day so i suggest that you
585,instead either the index or the middle
586,fingers are hooked like that friend
587,friend
588,friends
589,okay and again i have three different
590,that's the one handshape fall in love
591,together another example the two of us
592,were together ten years together
593,her boyfriend and girlfriend they're
594,example my sister we get along and if
595,you don't get along sign it like this
596,you shake your head no don't get along
597,or don't get along poorly get along
598,poorly for example growing up we didn't
599,boyfriend he and i broke up or the two
600,of them broke up also i've seen it as
601,relationship or even a marriage separate
602,separate or divorce and there's also of
603,course the sign with the d divorce
604,ways go separate ways
605,that's the ily i love you or more
606,few signs related to relationships for
607,you i hope that you could quickly learn
608,valentine's day i suggests if you like
609,this video that you watch the others
610,also related to family signs and
611,watching and i'll see you soon bye
612,"hello today i'm going to show the sign
relationship first understand that i'll"
613,"be showing two different ways to sign it
they're both fine one uses this"
614,"handshape  so that's this finger the
index finger  and the other uses the"
615,"middle finger so that's the 8
handshape  right there's the middle"
616,"now first the sign relationship is
similar to the sign connect and that's"
617,"the one with the index finger connect
connect connection and then continued"
618,"connection is a relationship  so the
fingers are open and they can close"
619,"also with the other hand shape the
8 handshape relationship"
620,side view relationship
621,"now i'm going to show a few example
sentences and this part of the video is"
622,"has different topic discussions lessons
signs that are taught and this is"
623,"related to that and that email has the
full list and explanation of the english"
624,"okay now let's move on
number one"
625,again
626,again
627,number three
628,"okay i hope that that helps you practice
and you know that i have a different"
629,"video with all different relationship
signs and family signs so i suggest you"
630,"watch those thank you for being here i
hope to see you again soon bye"
631,family or family
632,important or important
633,family
634,it's in a circle family
635,family
636,"you'll see it signed like that  with the
big circle and also like this"
637,where the wrist flicks forward family
638,family
639,family
640,important
641,important
642,the f handshape important
643,it tends to be signed starting from the
