name;video;start;end;speaker;orth;translation;
001;001_;-1;-1;woman-1;[SILENCE] JOHN WRITE HOMEWORK [SILENCE];John writes his homework.;
003;003_;-1;-1;woman-2;[SILENCE] IX-1P SEE JOHN YESTERDAY IX [SILENCE];I visited John there yesterday.;
004;004_;-1;-1;woman-1;[SILENCE] JOHN IX-1P SEE IX YESTERDAY [SILENCE];I visited John there yesterday.;
005;005_;-1;-1;woman-2;[SILENCE] LOVE MARY JOHN [SILENCE];Mary loves John.;
006;006_;-1;-1;woman-2;[SILENCE] LOVE MARY JOHN IX [SILENCE];Mary loves John.;
008;008_;-1;-1;man-1;[SILENCE] JOHN CAN GO CAN [SILENCE];Sure, John can go there.;
009;009_;-1;-1;woman-2;[SILENCE] JOHN CAN GO1 CAN [SILENCE];Sure, John can go there.;
010;010_;-1;-1;woman-1;[SILENCE] JOHN CAN GO CAN [SILENCE];Sure, John can go there.;
011;011_;-1;-1;woman-2;[SILENCE] JOHN CAN GO1 CAN [SILENCE];Sure, John can go there.;
013;013_;-1;-1;woman-2;[SILENCE] JOHN CAN GO1 CAN [SILENCE];Sure, John can go there.;
014;014_;-1;-1;woman-2;[SILENCE] JOHN CAN GO1 CAN [SILENCE];Sure, John can go there.;
015;015_;-1;-1;woman-2;[SILENCE] JOHN FUTURE GO2 PARTY FUTURE [SILENCE];John will go to a party in the future.;
016;016_;-1;-1;man-1;[SILENCE] JOHN FUTURE1 GO IX [SILENCE];John will go there in the future.;
017;017_;-1;-1;woman-2;[SILENCE] JOHN FUTURE1 GO IX [SILENCE];John will go there in the future.;
018;018_;-1;-1;woman-1;[SILENCE] JOHN IX HIT BLAME FRED IX [SILENCE];John blames Fred for being hit.;
019;019_;-1;-1;woman-2;[SILENCE] JOHN FISH WONT EAT BUT CAN EAT CHICKEN [SILENCE];John won't eat fish but eats chicken.;
020;020_;-1;-1;woman-2;[SILENCE] JOHN FISH WONT EAT BUT CAN EAT CHICKEN [SILENCE];John won't eat fish but eats chicken.;
022;022_;-1;-1;woman-2;[SILENCE] VEGETABLE CHINA IX PEOPLE PREFER BROCCOLI [SILENCE];For vegtables, the people in China prefer broccoli.;
023;023_;-1;-1;woman-2;[SILENCE] VEGETABLE CHINA IX PEOPLE PREFER BROCCOLI [SILENCE];For vegtables, the people in China prefer broccoli.;
024;024_;-1;-1;woman-2;[SILENCE] JOHN LIKE IX IX IX [SILENCE];John likes this and that.;
026;026_;-1;-1;woman-2;[SILENCE] JOHN LIKE IX IX IX [SILENCE];John likes this and that.;
027;027_;-1;-1;woman-2;[SILENCE] JOHN LIKE IX IX IX [SILENCE];John likes this and that.;
029;029_;-1;-1;man-1;[SILENCE] JOHN LIKE IX IX IX [SILENCE];John likes this and that.;
031;031_;-1;-1;man-1;[SILENCE] JOHN LEAVE IX [SILENCE];John leaves there. ;
032;032_;-1;-1;woman-2;[SILENCE] JOHN LEAVE IX [SILENCE];John leaves there.;
033;033_;-1;-1;woman-2;[SILENCE] JOHN LEAVE IX [SILENCE];John leaves there.;
034;034_;-1;-1;woman-2;[SILENCE] JOHN SAY MARY IX-1P BUY HOUSE [SILENCE];John tells Mary that I buy a house.;
035;035_;-1;-1;man-1;[SILENCE] MARY VEGETABLE KNOW IX LIKE CORN [SILENCE];Mary knows that, for vegtables, he likes corn.;
037;037_;-1;-1;woman-2;[SILENCE] MARY VEGETABLE IX-1P KNOW IX LIKE CORN1 [SILENCE];I know that, for vegtables, Mary likes corn.;
